,cause,cluster,dist,frequency,beta,p_value,tsne_x,tsne_y,"type: sci, news, expanded",new cluster after granger test
124,internal strife,4,2.9727900000000003,9523,3.2855,0.007937458209000001,26.30200195,-27.44599915,sci,3.0
125,malnourished,2,6.8853100000000005,23134,3.4275,0.007938184387,-33.33224487,-1.8351358180000001,sci,0.0
126,secession,4,5.87643,42924,3.694,0.00802879915,36.97819138,-40.48426437,sci,0.0
127,natural disaster,3,3.6096800000000004,36672,0.1095,0.008172989456,2.784144878,12.49611378,sci,4.0
128,life-threatening hunger,1,4.6295,4314,9.5428,0.008359845138,-21.08091927,-5.017486095,sci,0.0
129,air attack,3,5.0656300000000005,19920,2.6021,0.008561313442,56.29583359,-21.44976425,sci,2.0
130,corruption,4,5.47601,515890,3.8755,0.008635179271,52.44594955,-13.52125168,sci,0.0
131,call for donations,0,4.61447,7840,0.5798,0.008711641796000001,48.90901947,4.278330803,sci,2.0
132,collapse of government,4,4.225969999999999,8753,1.4695,0.0087165049,49.28677368,-13.69852066,news,2.0
133,international intervention,3,3.70946,12933,3.0528,0.008767544365,44.8830719,0.8293840289,sci,0.0
134,refugees,4,5.24149,282894,9.3076,0.008892073944,30.48432922,-17.34536171,sci,3.0
135,disrupted trade,3,4.12319,5578,9.5207,0.008921048717,33.0228653,2.57132864,news,0.0
136,lack of agricultural infrastructure,3,3.9269,2877,5.2581,0.008951703306,11.30016804,20.35812378,expanded,0.0
137,rebel insurgency,4,3.9443099999999998,10030,1.7732,0.009029142506000001,42.8430748,-35.942378999999995,news,3.0
138,brutal government,4,3.55651,8831,3.2353,0.009062928807,49.76741028,-14.92575741,sci,3.0
139,looting,4,5.83823,71207,2.6651,0.009205553782000001,18.37695313,-50.72874832,expanded,2.0
140,displaced,4,5.09166,253773,9.9276,0.009231615024999999,30.1163311,-17.35588074,sci,2.0
141,food crisis,3,3.6234599999999997,23135,6.456,0.009257692963,-7.192304611,25.94042587,news,2.0
142,lack of rains,1,3.9849300000000003,9526,2.2694,0.009335766647,-21.26202583,-52.6404686,news,2.0
143,lack of alternatives,3,3.2761,1768,1.099,0.009378565812,22.69814301,15.19544315,sci,0.0
144,regimes were toppled,4,5.27229,5783,6.1256,0.009652428801,47.29557419,-21.08942795,news,0.0
145,jihadist groups,3,5.36624,10231,4.0104,0.009684783924999999,44.45331192,-31.08301926,news,0.0
146,toll on livestock,0,4.1578800000000005,6523,1.4878,0.009710851432000001,-14.72805309,7.676562786,sci,2.0
147,shortage of rains,1,3.60126,4801,9.8278,0.009782497596,-21.52675438,-53.24023819,news,2.0
148,devastated the economy,3,4.38214,1853,3.0979,0.009863351190000001,1.812597156,23.40054321,sci,0.0
149,self reliance,0,4.25237,9473,7.1071,0.009872766787,35.05094528,0.5190820098,expanded,0.0
150,cholera outbreak,1,4.90966,17156,4.4681,0.009884006729,-44.22528839,3.4550576210000004,news,2.0
151,international embargo,3,4.26549,4134,4.1079,0.009967093056,43.79992676,0.9068319798000001,news,0.0
152,price,0,1.62032,903169,8.3091,0.01982615406,29.03323746,58.46036911,expanded,
153,demand,0,2.8554,954698,0.2194,0.08404509276000001,17.38437843,43.28937531,news,
154,conflicts,4,2.38175,167908,-0.6238,0.09881531616,25.39788246,-29.27323532,news,
155,change,3,2.05334,1898743,0.2883,0.10669769429999999,10.46789932,11.75740337,sci,
156,changes,3,2.6266599999999998,362088,-2.4339,0.1089105878,10.28414822,10.81084061,expanded,
157,future,3,2.9738599999999997,924185,-4.6127,0.11405607970000001,30.94573021,9.085057259,news,
158,increase,0,3.05533,1219591,-2.9815,0.1152797094,11.63993931,39.4274292,news,
159,weed,2,3.4739400000000002,53686,4.3244,0.115322016,-44.0855484,23.41405296,news,
160,indeed,3,3.45614,341341,2.1781,0.1154630765,30.98711586,17.31642342,news,
161,suggests,3,3.30675,131661,4.5041,0.1185100805,26.10785675,14.95873928,news,
162,droughts,1,3.5251699999999997,20956,1.8459,0.1195611647,-44.95172501,-38.65477753,news,
163,market,0,2.86072,1370496,0.35600000000000004,0.1216435742,34.29846954,62.74492264,news,
164,increases,0,3.24479,113199,3.6795,0.1218425231,11.78517628,41.00325775,sci,
165,buying,0,3.3487400000000003,186377,-0.6898,0.1229419724,41.21488571,56.77932739,news,
166,closing,0,3.37459,259916,2.3031,0.1237003109,23.82930946,59.70215988,news,
167,idea,3,3.6051900000000003,571457,3.7776,0.1255556089,32.97287369,16.88259888,news,
168,challenges,3,3.44425,635887,-4.0481,0.1279893468,15.03138828,4.849812984,expanded,
169,raise,0,3.4701199999999996,940860,2.4759,0.129127553,40.10604858,47.28832626,news,
170,fighting,4,3.3431900000000003,872226,2.6281,0.1293864006,39.89255905,-32.03089905,news,
171,prices,0,2.65971,448937,-1.9102,0.1296028465,31.6182766,61.47200394,news,
172,conditions,3,3.3060699999999996,570041,-0.8028,0.129921171,9.818143845,6.712030411000001,news,
173,weaker,0,3.47975,39106,3.1636,0.1305856183,21.84123993,46.34552002,expanded,
174,focused,3,3.52434,285190,4.2313,0.1311583776,22.65895844,10.27476597,news,
175,decrease,0,3.51851,167013,2.48,0.1328257236,8.913678168999999,40.59916306,expanded,
176,expect,0,3.63025,1707850,0.1477,0.1328894716,34.70286179,31.55149078,news,
177,discussion,3,3.7183699999999997,373559,-1.7154,0.1335659909,25.15614128,6.812633514,news,
178,changing,3,2.8799200000000003,193794,1.1228,0.1339085907,17.93924141,14.09888172,news,
179,weeds,2,3.42973,10179,-2.4366,0.1340770599,-44.14451218,24.01204109,news,
180,reason,3,3.58115,967255,-1.8584,0.1342482267,31.38973236,16.32783699,news,
